strategy,runs,avg_final_equity,avg_profit,avg_return_pct,avg_annual_return_pct,avg_max_drawdown_pct,avg_sharpe,avg_win_rate_pct,total_trades
DividendLowvolRotation,10,161165.016,61165.016,61.165000000000006,63.852,-22.984,0.8435,43.400999999999996,296
ScenarioRouter,10,149085.03699999998,49085.037,49.087,51.249,-25.859,0.5837999999999999,60.111000000000004,2206
MultiFactor,10,132966.356,32966.35599999999,32.967,34.248,-26.208,0.3974000000000001,39.096,159
DonchianTurtle,10,128916.13600000001,28916.136,28.916000000000004,30.054999999999996,-23.972,0.5286,52.675,112
CrossBorderDca,10,122570.475,22570.475,22.571,23.424,-13.5,1.1572,81.223,82
ChanLun2B,10,117289.23400000001,17289.234000000004,17.289,17.895000000000003,-14.219,0.3808,37.07,74
VpBreakout,10,111411.621,11411.621000000003,11.412,11.876,-17.107999999999997,0.4401,49.047000000000004,80
DragonTigerPattern,10,106910.31000000001,6910.3099999999995,6.911,7.103999999999999,-7.433,-0.30469999999999997,40.556,48
GridMartingale,10,105101.1,5101.1,5.103,5.263,-7.193,0.25889999999999996,61.148,375
BuyHold,10,100314.988,314.98800000000045,0.31499999999999995,0.32599999999999996,-4.297,-0.018799999999999994,25.0,10
