date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-20,BUY,sz002049,紫光国微,CrossBorderDca,62.1362,62.13,1500,93204.32,23.3,0.0,9.32,32.62,6772.38,0.0,0.0,跨境定投：现价 ¥62.170 < MA60×0.95（¥62.331），RSI=34.5，量比=1.19
2025-07-28,SELL,sz002049,紫光国微,CrossBorderDca,68.6831,68.69,1500,103024.7,25.76,51.51,10.3,87.57,109719.81,9719.81,10.43,达到 +10% 止盈（当前 +10.2%）
2025-11-17,BUY,sz002049,紫光国微,CrossBorderDca,75.4275,75.42,1300,98055.8,24.51,0.0,9.8,34.32,11639.49,0.0,0.0,跨境定投：现价 ¥74.850 < MA60×0.95（¥77.022），RSI=29.9，量比=1.00
2026-01-16,SELL,sz002049,紫光国微,CrossBorderDca,91.9808,91.99,1300,119575.04,29.89,59.79,11.96,101.64,131124.85,21405.04,21.82,达到 +10% 止盈（当前 +14.9%）
2026-03-17,BUY,sz002049,紫光国微,CrossBorderDca,74.6375,74.63,1600,119419.94,29.85,0.0,11.94,41.8,11675.05,0.0,0.0,跨境定投：现价 ¥74.570 < MA60×0.95（¥74.705），RSI=34.9，量比=1.03
2026-03-24,SELL,sz002049,紫光国微,CrossBorderDca,67.4933,67.5,1600,107989.2,27.0,53.99,10.8,91.79,119583.26,-11541.59,-9.66,触发 -8% 止损（当前 -11.0%）
2026-03-24,BUY,sz002049,紫光国微,CrossBorderDca,67.5067,67.5,1600,108010.8,27.0,0.0,10.8,37.8,11545.46,0.0,0.0,跨境定投：现价 ¥66.480 < MA60×0.95（¥74.319），RSI=27.1，量比=1.34
2026-04-29,SELL,sz002049,紫光国微,CrossBorderDca,73.7426,73.75,1600,117988.2,29.5,58.99,11.8,100.29,129445.17,9861.91,9.13,达到 +10% 止盈（当前 +10.2%）
2026-06-09,BUY,sz002049,紫光国微,CrossBorderDca,71.7372,71.73,1700,121953.19,30.49,0.0,12.19,42.68,7461.48,0.0,0.0,跨境定投：现价 ¥69.980 < MA60×0.95（¥70.470），RSI=34.2，量比=0.95
2026-06-18,SELL,sz002049,紫光国微,CrossBorderDca,79.892,79.9,1700,135816.42,33.95,67.91,13.58,115.45,143176.04,13730.87,11.26,达到 +10% 止盈（当前 +11.5%）
