code,name,market,board_code,board_name,board_type,avg_amount_20d,volatility_20d,momentum_20d,volume_ratio_5d,hot_score,score,data_rows
sh600259,中稀有色,sh_main,BK1626,稀土,sector,1429487027.52,0.8245,0.1668,0.7907,0.3965,14.4485,278
sz000831,中国稀土,sz_main,BK1626,稀土,sector,1684049467.35,0.3723,0.0362,0.6356,0.1634,12.9419,278
sh600392,盛和资源,sh_main,BK1626,稀土,sector,1059666632.65,0.3687,0.0856,0.8055,0.1817,12.7149,278
sh600111,北方稀土,sh_main,BK1626,稀土,sector,1527246922.83,0.2323,0.0399,0.6003,0.1089,12.4293,278
sz301141,中科磁业,chinext,BK1618,磁性材料,sector,651488821.97,1.2436,0.4575,0.8624,0.6804,15.632,278
sz301622,英思特,chinext,BK1618,磁性材料,sector,452277843.57,0.9412,0.1659,0.5907,0.4429,14.2001,129
sh688077,大地熊,star,BK1618,磁性材料,sector,285770373.62,0.951,0.1453,0.7916,0.4385,13.9633,278
sh600366,宁波韵升,sh_main,BK1618,磁性材料,sector,937093791.55,0.6941,0.2854,0.9276,0.3918,13.8809,278
sz300748,金力永磁,chinext,BK1618,磁性材料,sector,1356322105.53,0.44,0.1135,0.5167,0.2214,13.1084,278
sz300127,银河磁体,chinext,BK1618,磁性材料,sector,514913057.89,0.5879,0.1138,0.6073,0.2807,13.0638,278
sz002155,湖南黄金,sz_main,BK1617,黄金,sector,998486694.51,0.8014,-0.1753,0.6035,0.3907,14.182,278
sz300139,晓程科技,chinext,BK1617,黄金,sector,1085627006.33,0.7426,0.2228,0.9108,0.3862,14.0718,278
sh601069,西部黄金,sh_main,BK1617,黄金,sector,727912288.62,0.6891,0.353,1.072,0.4313,13.8084,278
sz000506,招金黄金,sz_main,BK1617,黄金,sector,415719466.39,0.6798,0.2164,0.9266,0.3585,13.3316,271
sh600988,赤峰黄金,sh_main,BK1617,黄金,sector,1638425614.29,0.4268,0.0691,0.5401,0.1984,13.1331,278
sz001337,四川黄金,sz_main,BK1617,黄金,sector,439283110.1,0.4608,0.0505,0.611,0.2045,12.5064,278
sz002716,湖南白银,sz_main,BK1616,白银,sector,488895370.63,0.4438,0.204,2.0801,0.4751,13.064,278
sz000426,兴业银锡,sz_main,BK1616,白银,sector,829554569.63,0.4272,0.1924,1.1181,0.2714,12.9059,278
sz000603,盛达资源,sz_main,BK1616,白银,sector,301996258.58,0.4421,0.2115,1.2593,0.3133,12.471,270
sz300149,睿智医药,chinext,BK1600,医疗研发外包,sector,1005972000.76,1.5144,0.6887,0.8017,0.8812,16.9494,278
sh688131,皓元医药,star,BK1600,医疗研发外包,sector,359135100.9,0.7739,0.1246,0.4622,0.3594,13.4882,278
sz301509,金凯生科,chinext,BK1600,医疗研发外包,sector,386139187.13,0.7345,0.0272,0.7733,0.3047,13.3202,278
sh688621,阳光诺和,star,BK1600,医疗研发外包,sector,302762914.85,0.7031,-0.0185,0.6297,0.2886,13.0756,269
sh603127,昭衍新药,sh_main,BK1600,医疗研发外包,sector,696733919.59,0.5148,0.1834,0.9492,0.2793,13.0447,278
sz301230,泓博医药,chinext,BK1600,医疗研发外包,sector,346855020.82,0.6385,0.0588,0.7554,0.2789,12.9695,278
sz300963,中洲特材,chinext,BK1619,其他金属新材料,sector,1851137039.1,1.3072,-0.1994,1.4481,0.6922,16.389,278
sh688102,斯瑞新材,star,BK1619,其他金属新材料,sector,367390578.27,0.7324,0.1535,0.6862,0.3544,13.3869,278
sz000969,安泰科技,sz_main,BK1619,其他金属新材料,sector,576076773.13,0.3862,0.0231,0.6083,0.1637,12.3874,278
sh605376,博迁新材,sh_main,BK1619,其他金属新材料,sector,194159319.28,0.4984,0.1476,0.4663,0.2584,12.2591,278
sh603124,江南新材,sh_main,BK1619,其他金属新材料,sector,186053876.08,0.4947,0.1086,0.7074,0.2413,12.1922,60
sh603045,福达合金,sh_main,BK1619,其他金属新材料,sector,143980150.66,0.5271,0.005,0.511,0.2128,12.0753,278
sz002727,一心堂,sz_main,BK1606,线下药店,sector,746442662.57,0.7682,0.0717,0.577,0.3359,13.8293,278
sh603883,老百姓,sh_main,BK1606,线下药店,sector,723273914.25,0.6113,0.116,0.6339,0.2909,13.3298,278
sh600833,第一医药,sh_main,BK1606,线下药店,sector,174509628.91,0.4755,0.0008,0.6647,0.1905,12.0074,278
sh605266,健之佳,sh_main,BK1606,线下药店,sector,89526344.59,0.4754,-0.06,1.1108,0.2363,11.7318,278
sz301017,漱玉平民,chinext,BK1606,线下药店,sector,105675625.86,0.4517,-0.0236,0.5961,0.1901,11.6714,278
sh603939,益丰药房,sh_main,BK1606,线下药店,sector,171209048.69,0.214,-0.1419,0.8405,0.1424,11.247,278
sz301026,浩通科技,chinext,BK1624,其他小金属,sector,268365356.4,1.2756,-0.1529,0.6452,0.5714,15.006,278
sh600281,华阳新材,sh_main,BK1624,其他小金属,sector,519848610.81,1.0036,0.2898,1.1101,0.5394,14.6257,278
sz000962,东方钽业,sz_main,BK1624,其他小金属,sector,490665938.2,0.4658,-0.0406,0.6543,0.2025,12.5757,278
sz002167,东方锆业,sz_main,BK1624,其他小金属,sector,587444759.91,0.3852,0.0611,0.7534,0.1786,12.4254,278
sh600459,贵研铂业,sh_main,BK1624,其他小金属,sector,326891826.67,0.3369,0.1148,0.598,0.1807,11.9865,278
sz002149,西部材料,sz_main,BK1624,其他小金属,sector,250192885.08,0.3372,-0.1151,1.3485,0.2506,11.9801,278
sz002842,翔鹭钨业,sz_main,BK1625,钨,sector,236708187.45,0.5579,0.0195,0.4103,0.2309,12.4618,278
sz002378,章源钨业,sz_main,BK1625,钨,sector,391069299.07,0.3879,-0.0566,0.7159,0.1778,12.2069,278
sz000657,中钨高新,sz_main,BK1625,钨,sector,488216897.24,0.3064,0.0759,0.6799,0.1529,12.0753,278
sh600549,厦门钨业,sh_main,BK1625,钨,sector,595971834.56,0.2574,0.0342,0.5869,0.1166,11.9899,278
sz300697,电工合金,chinext,BK1615,铜,sector,123768165.79,0.918,-0.2559,0.5599,0.4696,13.4827,278
sh601899,紫金矿业,sh_main,BK1615,铜,sector,2494922803.22,0.3368,0.0756,0.6281,0.165,13.0727,278
sh601212,白银有色,sh_main,BK1615,铜,sector,330854651.66,0.4471,0.1174,1.4428,0.3144,12.5358,278
sh603993,洛阳钼业,sh_main,BK1615,铜,sector,1189194805.73,0.2919,0.0771,0.6058,0.1476,12.5182,278
sh603979,金诚信,sh_main,BK1615,铜,sector,270347988.79,0.4017,0.0884,0.429,0.196,12.0746,278
sz000737,北方铜业,sz_main,BK1615,铜,sector,502712016.74,0.2919,0.0188,0.5757,0.1242,11.9977,278
sz000710,贝瑞基因,sz_main,BK1602,诊断服务,sector,509142219.78,0.5613,0.0297,0.8884,0.2364,12.9028,278
sz300244,迪安诊断,chinext,BK1602,诊断服务,sector,284947891.33,0.3569,-0.0294,0.724,0.1545,11.9087,278
sz300676,华大基因,chinext,BK1602,诊断服务,sector,292893540.1,0.3341,-0.0841,1.0238,0.1721,11.9019,278
sh603882,金域医学,sh_main,BK1602,诊断服务,sector,191875597.34,0.3091,-0.0858,0.5707,0.158,11.5786,278
sz301060,兰卫医学,chinext,BK1602,诊断服务,sector,53056184.88,0.2512,-0.0094,0.9375,0.1042,10.6191,278
sz002173,创新医疗,sz_main,BK1601,医院,sector,746828684.54,0.647,0.1542,3.0093,0.7223,14.2994,278
sz002172,澳洋健康,sz_main,BK1601,医院,sector,401630912.79,0.774,0.1176,0.6264,0.3567,13.5445,278
sz301293,三博脑科,chinext,BK1601,医院,sector,509255009.03,0.4665,0.0833,1.573,0.3345,12.8619,278
sz300015,爱尔眼科,chinext,BK1601,医院,sector,575608534.9,0.1545,-0.0713,0.6993,0.0903,11.6608,278
sz002622,皓宸医疗,sz_main,BK1601,医院,sector,81205727.65,0.4923,0.0214,0.7688,0.2055,11.6586,278
sz002044,美年健康,sz_main,BK1601,医院,sector,340545795.91,0.2102,-0.0546,0.6373,0.1059,11.5425,278
sh601166,兴业银行,sh_main,BK1610,股份制银行Ⅲ,sector,1472801965.86,0.2086,0.0617,0.6203,0.1081,12.3486,278
sh600036,招商银行,sh_main,BK1610,股份制银行Ⅲ,sector,2111409929.28,0.1089,0.0444,0.8226,0.0613,12.2036,278
sh600016,民生银行,sh_main,BK1610,股份制银行Ⅲ,sector,975300987.18,0.1947,0.1449,0.8296,0.1359,12.1427,278
sz000001,平安银行,sz_main,BK1610,股份制银行Ⅲ,sector,1232971986.74,0.148,0.0334,0.6164,0.0726,12.0282,278
sh601998,中信银行,sh_main,BK1610,股份制银行Ⅲ,sector,532143305.98,0.2483,0.1518,0.6443,0.1601,11.9918,278
sh600000,浦发银行,sh_main,BK1610,股份制银行Ⅲ,sector,678290423.14,0.1743,0.0416,1.4427,0.1749,11.9699,278
sh601825,沪农商行,sh_main,BK1612,农商行Ⅲ,sector,613620606.83,0.4798,0.1286,0.2713,0.2434,12.8155,278
sh601128,常熟银行,sh_main,BK1612,农商行Ⅲ,sector,347107100.98,0.5019,-0.0182,0.6305,0.208,12.4868,278
sh601077,渝农商行,sh_main,BK1612,农商行Ⅲ,sector,662751314.27,0.3503,-0.0307,0.4445,0.1524,12.3521,278
sh603323,DR苏农银,sh_main,BK1612,农商行Ⅲ,sector,313151864.73,0.4351,0.0745,0.8453,0.2039,12.2547,278
sz002958,青农商行,sz_main,BK1612,农商行Ⅲ,sector,324051433.86,0.2541,0.1078,0.8332,0.1448,11.7029,278
sh601860,紫金银行,sh_main,BK1612,农商行Ⅲ,sector,184482489.0,0.1857,0.0605,0.8399,0.0985,11.1293,278
sh601988,中国银行,sh_main,BK1611,国有大型银行Ⅲ,sector,1505057834.58,0.1339,-0.0196,1.3218,0.1258,12.2089,278
sh601288,农业银行,sh_main,BK1611,国有大型银行Ⅲ,sector,1777576212.01,0.0968,0.0287,1.3161,0.1134,12.183,278
sh601398,工商银行,sh_main,BK1611,国有大型银行Ⅲ,sector,1857191157.51,0.0677,0.0168,1.3349,0.1008,12.1092,278
sh601658,邮储银行,sh_main,BK1611,国有大型银行Ⅲ,sector,808417151.44,0.14,0.0377,1.1057,0.0922,11.8153,278
sh601939,建设银行,sh_main,BK1611,国有大型银行Ⅲ,sector,706889265.79,0.1158,0.0066,1.5473,0.1584,11.8132,278
sh601328,交通银行,sh_main,BK1611,国有大型银行Ⅲ,sector,802102455.51,0.105,0.0223,1.1929,0.0895,11.7182,278
sh601229,上海银行,sh_main,BK1609,城商行Ⅲ,sector,718553257.61,0.2545,-0.0255,1.6091,0.2338,12.3198,278
sh600926,杭州银行,sh_main,BK1609,城商行Ⅲ,sector,1210673140.51,0.2153,0.0923,0.7282,0.123,12.2872,278
sh601009,南京银行,sh_main,BK1609,城商行Ⅲ,sector,895688835.22,0.2195,0.1216,0.9737,0.1364,12.1589,278
sh600919,江苏银行,sh_main,BK1609,城商行Ⅲ,sector,1116380517.56,0.1779,0.0962,0.7041,0.1096,12.1224,278
sh601838,成都银行,sh_main,BK1609,城商行Ⅲ,sector,352382009.09,0.1821,0.1054,1.9983,0.3147,11.9086,278
sh601169,北京银行,sh_main,BK1609,城商行Ⅲ,sector,528905277.41,0.1857,0.0965,1.2513,0.1631,11.8381,278
sz300753,爱朋医疗,chinext,BK1605,医疗设备,sector,450472112.68,0.97,0.3065,3.2546,0.9615,15.3073,278
sz301363,美好医疗,chinext,BK1605,医疗设备,sector,80760178.9,1.0714,-0.3019,0.9111,0.5493,13.7911,278
sz301290,东星医疗,chinext,BK1605,医疗设备,sector,139842366.78,0.7304,0.0303,0.9632,0.3043,12.7504,278
sz300760,迈瑞医疗,chinext,BK1605,医疗设备,sector,1143366819.24,0.2437,0.0249,0.5269,0.1075,12.2957,278
sz300049,福瑞医科,chinext,BK1605,医疗设备,sector,250409364.46,0.4339,0.0551,0.4904,0.1956,12.112,278
sh688301,奕瑞科技,star,BK1605,医疗设备,sector,197533862.5,0.402,-0.0143,0.833,0.1665,11.8439,278
sh603799,华友钴业,sh_main,BK1622,镍,sector,802783499.55,0.2404,0.0401,0.712,0.1122,12.1024,278
sh600519,贵州茅台,sh_main,BK1575,白酒Ⅲ,sector,4371487793.31,0.1091,-0.1015,0.7323,0.0843,12.6504,278
